t,press,temp,fm,ax,ay,az,avx,avy,avz,q0,q1,q2,q3,ax,ay,az,vx,xy,vz,x,y,z
0.010000,1020.101563,56.391666,0, 0.033500,-10.035498,-0.076570, 0.028764,-0.007724,0.015980, 0.000000,1.000000,0.000000,0.000000, 0.033500,0.229498,0.076570, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.020001,1020.101563,56.391666,0, -0.057428,-10.001998,-0.071785, 0.025568,-0.003196,0.012518, 0.000000,1.000000,0.000000,0.000000, -0.057428,0.195998,0.071785, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.030001,1020.101563,56.391666,0, 0.009571,-9.997213,-0.167498, 0.021041,-0.009322,0.011719, 0.000000,1.000000,0.000000,0.000000, 0.009571,0.191214,0.167498, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.040002,1020.078125,56.400002,0, 0.043071,-10.030712,-0.181855, 0.026367,0.000266,0.016513, 0.000000,1.000000,0.000000,0.000000, 0.043071,0.224712,0.181855, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.050003,1020.078125,56.400002,0, -0.071785,-9.973285,-0.210568, 0.026101,-0.001332,0.017578, 0.000000,1.000000,0.000000,0.000000, -0.071785,0.167285,0.210568, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.060003,1020.078125,56.400002,0, -0.043071,-9.987642,-0.157926, 0.026367,-0.006126,0.018910, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.181643,0.157926, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.070003,1020.078125,56.400002,0, -0.129212,-9.982856,-0.172283, 0.026367,0.003196,0.013051, 0.000000,1.000000,0.000000,0.000000, -0.129212,0.176856,0.172283, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.080005,1020.117920,56.393749,0, -0.177069,-10.006784,-0.100499, 0.029297,0.005593,0.016513, 0.000000,1.000000,0.000000,0.000000, -0.177069,0.200785,0.100499, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.090007,1020.117920,56.393749,0, -0.167498,-9.992427,-0.023928, 0.022372,-0.000266,0.010387, 0.000000,1.000000,0.000000,0.000000, -0.167498,0.186427,0.023928, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.100009,1020.117920,56.393749,0, -0.138784,-10.011570,-0.177069, 0.023970,-0.004261,0.016247, 0.000000,1.000000,0.000000,0.000000, -0.138784,0.205570,0.177069, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.110009,1020.117920,56.393749,0, -0.153141,-9.987642,-0.110070, 0.026101,0.003995,0.008256, 0.000000,1.000000,0.000000,0.000000, -0.153141,0.181643,0.110070, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.120011,1020.117920,56.393749,0, -0.234497,-9.992427,-0.052642, 0.028764,0.000000,0.010121, 0.000000,1.000000,0.000000,0.000000, -0.234497,0.186427,0.052642, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.130011,1020.131592,56.397919,0, -0.114855,-10.011570,-0.172283, 0.025036,-0.002930,0.005593, 0.000000,1.000000,0.000000,0.000000, -0.114855,0.205570,0.172283, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.140013,1020.131592,56.397919,0, -0.119641,-10.006784,-0.153141, 0.018910,0.000000,0.005859, 0.000000,1.000000,0.000000,0.000000, -0.119641,0.200785,0.153141, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.150013,1020.131592,56.397919,0, -0.129212,-10.011570,-0.177069, 0.023438,0.004528,0.005593, 0.000000,1.000000,0.000000,0.000000, -0.129212,0.205570,0.177069, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.160015,1020.131592,56.397919,0, -0.062213,-9.992427,-0.239282, 0.021041,-0.001065,0.007990, 0.000000,1.000000,0.000000,0.000000, -0.062213,0.186427,0.239282, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.170015,1020.112305,56.402084,0, -0.047856,-10.001998,-0.248854, 0.026367,-0.001332,0.011186, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.195998,0.248854, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.180015,1020.112305,56.402084,0, -0.047856,-10.021141,-0.215354, 0.025302,-0.001864,0.010121, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.215141,0.215354, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.190015,1020.112305,56.402084,0, -0.028714,-9.973285,-0.253639, 0.024237,-0.005327,0.005593, 0.000000,1.000000,0.000000,0.000000, -0.028714,0.167285,0.253639, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.200016,1020.112305,56.402084,0, 0.023928,-10.011570,-0.277567, 0.025302,-0.002930,0.007457, 0.000000,1.000000,0.000000,0.000000, 0.023928,0.205570,0.277567, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.210016,1020.095215,56.400002,0, -0.009571,-9.982856,-0.258425, 0.029563,-0.001332,0.004261, 0.000000,1.000000,0.000000,0.000000, -0.009571,0.176856,0.258425, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.220018,1020.095215,56.400002,0, -0.019143,-10.011570,-0.282353, 0.025835,0.001332,0.011453, 0.000000,1.000000,0.000000,0.000000, -0.019143,0.205570,0.282353, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.230018,1020.095215,56.400002,0, -0.047856,-9.987642,-0.248854, 0.033026,-0.005859,0.006126, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.181643,0.248854, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.240018,1020.095215,56.400002,0, 0.023928,-10.001998,-0.210568, 0.029563,-0.000799,0.009322, 0.000000,1.000000,0.000000,0.000000, 0.023928,0.195998,0.210568, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.250018,1020.051758,56.397919,0, -0.043071,-9.992427,-0.181855, 0.030629,0.001598,0.007990, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.186427,0.181855, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
